name,type,description
user,collection,
id,ID,key
openid,string,
username,string,
password,string,
telephone,string,
email,string,
userData_id,ID
createdAt,string,
updatedAt,string,
userData,collection,
id,ID,key
nickname,string,
avatar,string,
isVip,boolean,
vipCode,string,
userPoint,Int,
createdAt,string,
updatedAt,string,
userAddress,collection,
id,ID,key
user_id,ID,non-null
username,string,non-null
telephone,string,non-null
province,string,non-null
city,string,non-null
area,string,non-null
address,string,non-null
postcode,string,
default,Int,
createdAt,string,non-nul
updatedAt,string,
deletedAt,string,
admin,collection,
id,ID,key
openid,string,
username,string,
password,string,
telephone,string,
email,string,
createdAt,string,
updatedAt,string,
userSearch,collection,
id,ID,key
user_id,ID,non-null
keyword,int,non-null-list	
createdAt,string,non-null
updatedAt,string,
userCollect,collection,
id,ID,key
user_id,ID,non-null
product_id,ID,non-null-list
createdAt,string,non-null
updatedAt,string,
userCart,collection,
id,ID,key
user_id,ID,non-null
product_id,ID,non-null
specificationStock_id,ID,non-null
count,Int,non-null
createdAt,string,non-null
updatedAt,string,
product,collection,
id,ID,key
category,string,non-null
name,string,non-null
price,float,non-null
img,string,
intro,string,
stock,int,
unit,string,non-null
status,string,
createdAt,string,non-null
updatedAt,string,
specificationStock,collection,
id,ID,key
product_id,ID,non-null
color,string,
size,string,
stock,int,
status,string,
createdAt,string,non-null
updatedAt,string,
order,collection,
id,ID,key
user_id,ID,non-null
userAddress_id,ID,non-null
remark,string,
productTotalPay,float,non-null
orderTotalPay,float,non-null
count,int,non-null
orderStatus,string,non-null
orderPay_id,ID,
orderLogistics_id,ID,
orderShipFee,float,
payTime,string,
deliveryTime,string,
createdAt,string,non-null
updatedAt,string,
orderProduct,collection,
id,ID,key
user_id	,ID,non-null
order_id,ID,non-null
product_id,ID,non-null
specificationStock_id,ID,non-null
productName,string,non-null
productImg,string,
productPrice,float,non-null
productColor,string,
productSize,string,
orderPay_id,ID,non-null
unit,string,non-null
count,int,non-null
productPay,float,	
orderPay,float,non-null
createdAt,string,non-null
updatedAt,string,
orderLogistics,collection,
id,ID,key
user_id,ID,non-null
order_id,ID,non-null
expressId,string,non-null
consigneeName,string,non-null
consigneeTel,string,non-null
consignAddress,string,non-null
LogisticsStatus,string,	
logisticsFee,float,	
createdAt,string,non-null
updatedAt,string,
orderPay,collection,
id,ID,key
user_id,ID,non-null
order_id,ID,non-null
totalPay,float,non-null
transactionId,string,non-null
payTime,string,non-null
